Date,CA_CARealGDP,l1,l2,l3,l4,CA_REALGDP_YY,CA_REALGDP_QA,CA_REALGDP_RE,CA_UNEMPLOYMENT_RATE,CA_CONSUMER_CREDIT,CA_CONSUMER_CREDIT_YY,CA_CONSUMER_CREDIT_QA,CA_CONSUMER_CREDIT_RE,CA_CARealGDP_qd,CA_CARealGDP_qq,CA_CARealGDP_yd,CA_CARealGDP_yy,CA_CARealGDP_logqd,CA_CARealGDP_logqq,CA_CARealGDP_logyd,CA_CARealGDP_logyy,CA_REALGDP_RE_qd,CA_REALGDP_RE_qq,CA_REALGDP_RE_yd,CA_REALGDP_RE_yy,CA_REALGDP_RE_logqd,CA_REALGDP_RE_logqq,CA_REALGDP_RE_logyd,CA_REALGDP_RE_logyy,CA_UNEMPLOYMENT_RATE_qd,CA_UNEMPLOYMENT_RATE_qq,CA_UNEMPLOYMENT_RATE_yd,CA_UNEMPLOYMENT_RATE_yy,CA_UNEMPLOYMENT_RATE_logqd,CA_UNEMPLOYMENT_RATE_logqq,CA_UNEMPLOYMENT_RATE_logyd,CA_UNEMPLOYMENT_RATE_logyy,CA_CONSUMER_CREDIT_qd,CA_CONSUMER_CREDIT_qq,CA_CONSUMER_CREDIT_yd,CA_CONSUMER_CREDIT_yy,CA_CONSUMER_CREDIT_logqd,CA_CONSUMER_CREDIT_logqq,CA_CONSUMER_CREDIT_logyd,CA_CONSUMER_CREDIT_logyy,CA_CONSUMER_CREDIT_RE_qd,CA_CONSUMER_CREDIT_RE_qq,CA_CONSUMER_CREDIT_RE_yd,CA_CONSUMER_CREDIT_RE_yy,CA_CONSUMER_CREDIT_RE_logqd,CA_CONSUMER_CREDIT_RE_logqq,CA_CONSUMER_CREDIT_RE_logyd,CA_CONSUMER_CREDIT_RE_logyy,CA_CARealGDP_qd_lag1,CA_CARealGDP_qd_lag2,CA_CARealGDP_qd_lag3,CA_CARealGDP_qd_lag4,CA_CARealGDP_qq_lag1,CA_CARealGDP_qq_lag2,CA_CARealGDP_qq_lag3,CA_CARealGDP_qq_lag4,CA_CARealGDP_yd_lag1,CA_CARealGDP_yd_lag2,CA_CARealGDP_yd_lag3,CA_CARealGDP_yd_lag4,CA_CARealGDP_yy_lag1,CA_CARealGDP_yy_lag2,CA_CARealGDP_yy_lag3,CA_CARealGDP_yy_lag4,CA_CARealGDP_logqd_lag1,CA_CARealGDP_logqd_lag2,CA_CARealGDP_logqd_lag3,CA_CARealGDP_logqd_lag4,CA_CARealGDP_logqq_lag1,CA_CARealGDP_logqq_lag2,CA_CARealGDP_logqq_lag3,CA_CARealGDP_logqq_lag4,CA_CARealGDP_logyd_lag1,CA_CARealGDP_logyd_lag2,CA_CARealGDP_logyd_lag3,CA_CARealGDP_logyd_lag4,CA_CARealGDP_logyy_lag1,CA_CARealGDP_logyy_lag2,CA_CARealGDP_logyy_lag3,CA_CARealGDP_logyy_lag4,CA_REALGDP_RE_qd_lag1,CA_REALGDP_RE_qd_lag2,CA_REALGDP_RE_qd_lag3,CA_REALGDP_RE_qd_lag4,CA_REALGDP_RE_qq_lag1,CA_REALGDP_RE_qq_lag2,CA_REALGDP_RE_qq_lag3,CA_REALGDP_RE_qq_lag4,CA_REALGDP_RE_yd_lag1,CA_REALGDP_RE_yd_lag2,CA_REALGDP_RE_yd_lag3,CA_REALGDP_RE_yd_lag4,CA_REALGDP_RE_yy_lag1,CA_REALGDP_RE_yy_lag2,CA_REALGDP_RE_yy_lag3,CA_REALGDP_RE_yy_lag4,CA_REALGDP_RE_logqd_lag1,CA_REALGDP_RE_logqd_lag2,CA_REALGDP_RE_logqd_lag3,CA_REALGDP_RE_logqd_lag4,CA_REALGDP_RE_logqq_lag1,CA_REALGDP_RE_logqq_lag2,CA_REALGDP_RE_logqq_lag3,CA_REALGDP_RE_logqq_lag4,CA_REALGDP_RE_logyd_lag1,CA_REALGDP_RE_logyd_lag2,CA_REALGDP_RE_logyd_lag3,CA_REALGDP_RE_logyd_lag4,CA_REALGDP_RE_logyy_lag1,CA_REALGDP_RE_logyy_lag2,CA_REALGDP_RE_logyy_lag3,CA_REALGDP_RE_logyy_lag4,CA_UNEMPLOYMENT_RATE_qd_lag1,CA_UNEMPLOYMENT_RATE_qd_lag2,CA_UNEMPLOYMENT_RATE_qd_lag3,CA_UNEMPLOYMENT_RATE_qd_lag4,CA_UNEMPLOYMENT_RATE_qq_lag1,CA_UNEMPLOYMENT_RATE_qq_lag2,CA_UNEMPLOYMENT_RATE_qq_lag3,CA_UNEMPLOYMENT_RATE_qq_lag4,CA_UNEMPLOYMENT_RATE_yd_lag1,CA_UNEMPLOYMENT_RATE_yd_lag2,CA_UNEMPLOYMENT_RATE_yd_lag3,CA_UNEMPLOYMENT_RATE_yd_lag4,CA_UNEMPLOYMENT_RATE_yy_lag1,CA_UNEMPLOYMENT_RATE_yy_lag2,CA_UNEMPLOYMENT_RATE_yy_lag3,CA_UNEMPLOYMENT_RATE_yy_lag4,CA_UNEMPLOYMENT_RATE_logqd_lag1,CA_UNEMPLOYMENT_RATE_logqd_lag2,CA_UNEMPLOYMENT_RATE_logqd_lag3,CA_UNEMPLOYMENT_RATE_logqd_lag4,CA_UNEMPLOYMENT_RATE_logqq_lag1,CA_UNEMPLOYMENT_RATE_logqq_lag2,CA_UNEMPLOYMENT_RATE_logqq_lag3,CA_UNEMPLOYMENT_RATE_logqq_lag4,CA_UNEMPLOYMENT_RATE_logyd_lag1,CA_UNEMPLOYMENT_RATE_logyd_lag2,CA_UNEMPLOYMENT_RATE_logyd_lag3,CA_UNEMPLOYMENT_RATE_logyd_lag4,CA_UNEMPLOYMENT_RATE_logyy_lag1,CA_UNEMPLOYMENT_RATE_logyy_lag2,CA_UNEMPLOYMENT_RATE_logyy_lag3,CA_UNEMPLOYMENT_RATE_logyy_lag4,CA_CONSUMER_CREDIT_qd_lag1,CA_CONSUMER_CREDIT_qd_lag2,CA_CONSUMER_CREDIT_qd_lag3,CA_CONSUMER_CREDIT_qd_lag4,CA_CONSUMER_CREDIT_qq_lag1,CA_CONSUMER_CREDIT_qq_lag2,CA_CONSUMER_CREDIT_qq_lag3,CA_CONSUMER_CREDIT_qq_lag4,CA_CONSUMER_CREDIT_yd_lag1,CA_CONSUMER_CREDIT_yd_lag2,CA_CONSUMER_CREDIT_yd_lag3,CA_CONSUMER_CREDIT_yd_lag4,CA_CONSUMER_CREDIT_yy_lag1,CA_CONSUMER_CREDIT_yy_lag2,CA_CONSUMER_CREDIT_yy_lag3,CA_CONSUMER_CREDIT_yy_lag4,CA_CONSUMER_CREDIT_logqd_lag1,CA_CONSUMER_CREDIT_logqd_lag2,CA_CONSUMER_CREDIT_logqd_lag3,CA_CONSUMER_CREDIT_logqd_lag4,CA_CONSUMER_CREDIT_logqq_lag1,CA_CONSUMER_CREDIT_logqq_lag2,CA_CONSUMER_CREDIT_logqq_lag3,CA_CONSUMER_CREDIT_logqq_lag4,CA_CONSUMER_CREDIT_logyd_lag1,CA_CONSUMER_CREDIT_logyd_lag2,CA_CONSUMER_CREDIT_logyd_lag3,CA_CONSUMER_CREDIT_logyd_lag4,CA_CONSUMER_CREDIT_logyy_lag1,CA_CONSUMER_CREDIT_logyy_lag2,CA_CONSUMER_CREDIT_logyy_lag3,CA_CONSUMER_CREDIT_logyy_lag4,CA_CONSUMER_CREDIT_RE_qd_lag1,CA_CONSUMER_CREDIT_RE_qd_lag2,CA_CONSUMER_CREDIT_RE_qd_lag3,CA_CONSUMER_CREDIT_RE_qd_lag4,CA_CONSUMER_CREDIT_RE_qq_lag1,CA_CONSUMER_CREDIT_RE_qq_lag2,CA_CONSUMER_CREDIT_RE_qq_lag3,CA_CONSUMER_CREDIT_RE_qq_lag4,CA_CONSUMER_CREDIT_RE_yd_lag1,CA_CONSUMER_CREDIT_RE_yd_lag2,CA_CONSUMER_CREDIT_RE_yd_lag3,CA_CONSUMER_CREDIT_RE_yd_lag4,CA_CONSUMER_CREDIT_RE_yy_lag1,CA_CONSUMER_CREDIT_RE_yy_lag2,CA_CONSUMER_CREDIT_RE_yy_lag3,CA_CONSUMER_CREDIT_RE_yy_lag4,CA_CONSUMER_CREDIT_RE_logqd_lag1,CA_CONSUMER_CREDIT_RE_logqd_lag2,CA_CONSUMER_CREDIT_RE_logqd_lag3,CA_CONSUMER_CREDIT_RE_logqd_lag4,CA_CONSUMER_CREDIT_RE_logqq_lag1,CA_CONSUMER_CREDIT_RE_logqq_lag2,CA_CONSUMER_CREDIT_RE_logqq_lag3,CA_CONSUMER_CREDIT_RE_logqq_lag4,CA_CONSUMER_CREDIT_RE_logyd_lag1,CA_CONSUMER_CREDIT_RE_logyd_lag2,CA_CONSUMER_CREDIT_RE_logyd_lag3,CA_CONSUMER_CREDIT_RE_logyd_lag4,CA_CONSUMER_CREDIT_RE_logyy_lag1,CA_CONSUMER_CREDIT_RE_logyy_lag2,CA_CONSUMER_CREDIT_RE_logyy_lag3,CA_CONSUMER_CREDIT_RE_logyy_lag4
1980Q1,768143,,,,,,,40.61770782,7.559028667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980Q2,767890,768143,,,,,,40.60432974,7.744460333,,,,,-253,-0.032936576,,,-0.00032942,-2.43E-05,,,-0.01337808,-0.032936571,,,-0.00032942,-8.89E-05,,,0.185431666,2.453114999,,,0.024235093,0.011981303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980Q3,766850,767890,768143,,,,,40.54933683,7.545525667,,,,,-1040,-0.135436065,,,-0.001355279,-0.00010001,,,-0.05499291,-0.135436074,,,-0.001355279,-0.000365908,,,-0.198934666,-2.568735037,,,-0.026023031,-0.012712904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980Q4,777550,766850,767890,768143,,,,41.11512924,7.24491,,,,,10700,1.395318511,,,0.013856736,0.001022634,,,0.56579241,1.395318529,,,0.013856736,0.003742515,,,-0.300615667,-3.984025504,,,-0.040655607,-0.02011703,,,,,,,,,,,,,,,,,,,-787,,,,-0.102499489,,,,,,,,,,,,-0.001025859,,,,-7.57E-05,,,,,,,,,,,,-0.04161483,,,,-0.102499503,,,,,,,,,,,,-0.001025859,,,,-0.000276977,,,,,,,,,,,,-0.384366332,,,,-5.021850036,,,,,,,,,,,,-0.050258125,,,,-0.024694207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q1,794832,777550,766850,767890,768143,,,42.02896328,7.389903667,,,,,17282,2.222622339,26689,3.474483267,0.021982821,0.001620685,0.034154858,9.979371748,0.91383404,2.222622322,1.41125546,3.474483263,0.021982821,0.005915123,0.034154858,1.428890558,0.144993667,2.001317711,-0.169125,-2.237390642,0.019815546,0.01000634,-0.022627999,0.295660337,,,,,,,,,,,,,,,,,11740,-787,,,1.530754576,-0.102499489,,,,,,,,,,,0.015212014,-0.001025859,,,0.001122644,-7.57E-05,,,,,,,,,,,0.62078532,-0.04161483,,,1.530754602,-0.102499503,,,,,,,,,,,0.015212014,-0.001025859,,,0.004108424,-0.000276977,,,,,,,,,,,-0.101681001,-0.384366332,,,-1.415290467,-5.021850036,,,,,,,,,,,-0.014632576,-0.050258125,,,-0.007404126,-0.024694207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q2,803602,794832,777550,766850,767890,,4.487096642,42.49270154,7.181358667,,,,,8770,1.103377821,35712,4.650666111,0.01097335,0.000807702,0.045457628,9.990369407,0.46373826,1.103377823,1.8883718,4.650666104,0.01097335,0.002935339,0.045457628,1.439952844,-0.208545,-2.822025961,-0.563101666,-7.271025246,-0.028626105,-0.014312232,-0.075489197,0.255124137,,,,,,,,,,,,,,,,,6582,11740,-787,,0.827303829,1.530754576,-0.102499489,,,,,,,,,,0.008126085,0.015212014,-0.001025859,,0.000598052,0.001122644,-7.57E-05,,,,,,,,,,0.34804163,0.62078532,-0.04161483,,0.827303793,1.530754602,-0.102499503,,,,,,,,,,0.008126085,0.015212014,-0.001025859,,0.002172607,0.004108424,-0.000276977,,,,,,,,,,0.445609334,-0.101681001,-0.384366332,,5.985343216,-1.415290467,-5.021850036,,,,,,,,,,0.060471153,-0.014632576,-0.050258125,,0.03012337,-0.007404126,-0.024694207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q3,796401,803602,794832,777550,766850,,-3.536469909,42.11192854,7.463145333,,,,,-7201,-0.896090353,29551,3.853556758,-0.009001294,-0.000662013,0.037811613,9.981468128,-0.380773,-0.896090355,1.56259171,3.853556759,-0.009001294,-0.002400772,0.037811613,1.431317525,0.281786666,3.923862866,-0.082380334,-1.091777268,0.038488357,0.019522485,-0.010977809,0.306406898,,,,,,,,,,,,,,,,,-8512,6582,11740,-787,-1.119244519,0.827303829,1.530754576,-0.102499489,9023,,,,1.176182844,,,,-0.011009471,0.008126085,0.015212014,-0.001025859,-0.000812983,0.000598052,0.001122644,-7.57E-05,0.01130277,,,,0.010997659,,,,-0.45009578,0.34804163,0.62078532,-0.04161483,-1.119244499,0.827303793,1.530754602,-0.102499503,0.47711634,,,,1.176182841,,,,-0.011009471,0.008126085,0.015212014,-0.001025859,-0.002979784,0.002172607,0.004108424,-0.000276977,0.01130277,,,,0.011062286,,,,-0.353538667,0.445609334,-0.101681001,-0.384366332,-4.823343673,5.985343216,-1.415290467,-5.021850036,-0.393976666,,,,-5.033634605,,,,-0.048441651,0.060471153,-0.014632576,-0.050258125,-0.024318571,0.03012337,-0.007404126,-0.024694207,-0.052861198,,,,-0.0405362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q4,792772,796401,803602,794832,777550,,-1.810279294,41.92003503,8.423633333,,,,,-3629,-0.455674968,15222,1.957687609,-0.004567163,-0.000336121,0.019387714,9.975878854,-0.19189351,-0.455674952,0.80490579,1.957687608,-0.004567163,-0.001221059,0.019387714,1.423014832,0.960488,12.86974804,1.178723333,16.2696753,0.121064296,0.060231684,0.150742094,0.447793327,,,,,,,,,,,,,,,,,-15971,-8512,6582,11740,-1.999468174,-1.119244519,0.827303829,1.530754576,-6161,9023,,,-0.797109353,1.176182844,,,-0.019974644,-0.011009471,0.008126085,0.015212014,-0.001469715,-0.000812983,0.000598052,0.001122644,-0.007646015,0.01130277,,,-0.008901279,0.010997659,,,-0.84451126,-0.45009578,0.34804163,0.62078532,-1.999468178,-1.119244499,0.827303793,1.530754602,-0.32578009,0.47711634,,,-0.797109345,1.176182841,,,-0.019974644,-0.011009471,0.008126085,0.015212014,-0.005336111,-0.002979784,0.002172607,0.004108424,-0.007646015,0.01130277,,,-0.008635319,0.011062286,,,0.490331666,-0.353538667,0.445609334,-0.101681001,6.745888827,-4.823343673,5.985343216,-1.415290467,0.480721332,-0.393976666,,,6.179247978,-5.033634605,,,0.067114462,-0.048441651,0.060471153,-0.014632576,0.033834717,-0.024318571,0.03012337,-0.007404126,0.064511389,-0.052861198,,,0.051282761,-0.0405362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q1,783342,792772,796401,803602,794832,-1.445588502,-4.673765431,41.42139742,8.944790667,,,,,-9430,-1.189497106,-11490,-1.445588502,-0.011966282,-0.000880956,-0.014561389,9.962293198,-0.49863761,-1.189497121,-0.60756586,-1.4455885,-0.011966282,-0.003203169,-0.014561389,1.405150853,0.521157334,6.186847331,1.554887,21.04069376,0.060030067,0.02816936,0.190956615,0.497866786,,,,,,,,,,,,,,,,,3572,-15971,-8512,6582,0.440415385,-1.999468174,-1.119244519,0.827303829,-14329,-6161,9023,,-1.89586915,-0.797109353,1.176182844,,0.004434131,-0.019974644,-0.011009471,0.008126085,0.000325892,-0.001469715,-0.000812983,0.000598052,-0.018423899,-0.007646015,0.01130277,,-0.005589275,-0.008901279,0.010997659,,0.18887949,-0.84451126,-0.45009578,0.34804163,0.440415403,-1.999468178,-1.119244499,0.827303793,-0.75768592,-0.32578009,0.47711634,,-1.895869151,-0.797109345,1.176182841,,0.004434131,-0.019974644,-0.011009471,0.008126085,0.001179714,-0.005336111,-0.002979784,0.002172607,-0.018423899,-0.007646015,0.01130277,,-0.008302693,-0.008635319,0.011062286,,0.678701334,0.490331666,-0.353538667,0.445609334,8.945885171,6.745888827,-4.823343673,5.985343216,1.261103667,0.480721332,-0.393976666,,17.36145257,6.179247978,-5.033634605,,0.082575938,0.067114462,-0.048441651,0.060471153,0.040709198,0.033834717,-0.024318571,0.03012337,0.161719903,0.064511389,-0.052861198,,0.141386428,0.051282761,-0.0405362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q2,774312,783342,792772,796401,803602,-3.644839112,-4.531893381,40.94391094,10.41304833,,,,,-9030,-1.152753204,-29290,-3.644839112,-0.011594489,-0.000854337,-0.037129229,9.949891332,-0.47748648,-1.15275319,-1.5487906,-3.644839099,-0.011594489,-0.00311362,-0.037129228,1.390625325,1.468257663,16.41466768,3.231689663,45.00108981,0.151988352,0.069367141,0.371571072,0.664270778,,,,,,,,,,,,,,,,,-5801,3572,-15971,-8512,-0.733822139,0.440415385,-1.999468174,-1.119244519,-26712,-14329,-6161,9023,-3.40327611,-1.89586915,-0.797109353,1.176182844,-0.007399119,0.004434131,-0.019974644,-0.011009471,-0.000544835,0.000325892,-0.001469715,-0.000812983,-0.033949103,-0.018423899,-0.007646015,0.01130277,-0.013585656,-0.005589275,-0.008901279,0.010997659,-0.3067441,0.18887949,-0.84451126,-0.45009578,-0.73382217,0.440415403,-1.999468178,-1.119244499,-1.41247165,-0.75768592,-0.32578009,0.47711634,-3.403276108,-1.895869151,-0.797109345,1.176182841,-0.007399119,0.004434131,-0.019974644,-0.011009471,-0.00198211,0.001179714,-0.005336111,-0.002979784,-0.033949103,-0.018423899,-0.007646015,0.01130277,-0.017863979,-0.008302693,-0.008635319,0.011062286,-0.439330666,0.678701334,0.490331666,-0.353538667,-6.682900707,8.945885171,6.745888827,-4.823343673,0.376163667,1.261103667,0.480721332,-0.393976666,4.771018461,17.36145257,6.179247978,-5.033634605,-0.061034229,0.082575938,0.067114462,-0.048441651,-0.032062324,0.040709198,0.033834717,-0.024318571,0.040214521,0.161719903,0.064511389,-0.052861198,0.050073459,0.141386428,0.051282761,-0.0405362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q3,767485,774312,783342,792772,796401,-3.630834215,-3.48037509,40.58291423,12.079513,,,,,-6827,-0.881685935,-28916,-3.630834215,-0.008855958,-0.000653107,-0.036983893,9.941697607,-0.36099671,-0.88168595,-1.52901431,-3.630834215,-0.008855958,-0.002385634,-0.036983893,1.384173026,1.66646467,16.00361985,4.616367667,61.85552419,0.14845121,0.063357845,0.481533925,0.793387622,,,,,,,,,,,,,,,,,400,-5801,3572,-15971,0.036743903,-0.733822139,0.440415385,-1.999468174,-17800,-26712,-14329,-6161,-2.19925061,-3.40327611,-1.89586915,-0.797109353,0.000371793,-0.007399119,0.004434131,-0.019974644,2.66E-05,-0.000544835,0.000325892,-0.001469715,-0.022567839,-0.033949103,-0.018423899,-0.007646015,-0.012401865,-0.013585656,-0.005589275,-0.008901279,0.02115113,-0.3067441,0.18887949,-0.84451126,0.036743932,-0.73382217,0.440415403,-1.999468178,-0.94122474,-1.41247165,-0.75768592,-0.32578009,-2.199250599,-3.403276108,-1.895869151,-0.797109345,0.000371793,-0.007399119,0.004434131,-0.019974644,8.95E-05,-0.00198211,0.001179714,-0.005336111,-0.022567839,-0.033949103,-0.018423899,-0.007646015,-0.014525528,-0.017863979,-0.008302693,-0.008635319,0.947100329,-0.439330666,0.678701334,0.490331666,10.22782035,-6.682900707,8.945885171,6.745888827,1.676802663,0.376163667,1.261103667,0.480721332,23.96039604,4.771018461,17.36145257,6.179247978,0.091958285,-0.061034229,0.082575938,0.067114462,0.041197781,-0.032062324,0.040709198,0.033834717,0.180614457,0.040214521,0.161719903,0.064511389,0.166403992,0.050073459,0.141386428,0.051282761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q4,760402,767485,774312,783342,792772,-4.083141181,-3.640748688,40.20838081,12.99237233,,,,,-7083,-0.922884486,-32370,-4.083141181,-0.009271694,-0.000684214,-0.041688424,9.93276209,-0.37453342,-0.922884487,-1.71165422,-4.083141197,-0.009271695,-0.002503599,-0.041688424,1.376123136,0.91285933,7.557087194,4.568738997,54.23715416,0.072851564,0.029239914,0.433321194,0.807751733,,,,,,,,,,,,,,,,,2203,400,-5801,3572,0.271067268,0.036743903,-0.733822139,0.440415385,374,-17800,-26712,-14329,0.014004896,-2.19925061,-3.40327611,-1.89586915,0.002738531,0.000371793,-0.007399119,0.004434131,0.00020123,2.66E-05,-0.000544835,0.000325892,0.000145336,-0.022567839,-0.033949103,-0.018423899,-0.008193726,-0.012401865,-0.013585656,-0.005589275,0.11648977,0.02115113,-0.3067441,0.18887949,0.27106724,0.036743932,-0.73382217,0.440415403,0.01977629,-0.94122474,-1.41247165,-0.75768592,0.014004884,-2.199250599,-3.403276108,-1.895869151,0.002738531,0.000371793,-0.007399119,0.004434131,0.000727986,8.95E-05,-0.00198211,0.001179714,0.000145336,-0.022567839,-0.033949103,-0.018423899,-0.006452299,-0.014525528,-0.017863979,-0.008302693,0.198207007,0.947100329,-0.439330666,0.678701334,-0.411047829,10.22782035,-6.682900707,8.945885171,1.384678004,1.676802663,0.376163667,1.261103667,16.85443439,23.96039604,4.771018461,17.36145257,-0.003537142,0.091958285,-0.061034229,0.082575938,-0.006009296,0.041197781,-0.032062324,0.040709198,0.109962853,0.180614457,0.040214521,0.161719903,0.129116844,0.166403992,0.050073459,0.141386428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983Q1,772908,760402,767485,774312,783342,-1.331985263,6.742705958,40.86967051,12.639365,,,,,12506,1.644656379,-10434,-1.331985263,0.016312784,0.001204642,-0.013409358,9.949956218,0.6612897,1.644656379,-0.55172691,-1.331985265,0.016312784,0.004415931,-0.013409358,1.39564423,-0.35300733,-2.717035204,3.694574333,41.30420119,-0.027546291,-0.010741965,0.345744836,0.752425541,,,,,,,,,,,,,,,,,-256,2203,400,-5801,-0.041198551,0.271067268,0.036743903,-0.733822139,-3454,374,-17800,-26712,-0.452306965,0.014004896,-2.19925061,-3.40327611,-0.000415737,0.002738531,0.000371793,-0.007399119,-3.11E-05,0.00020123,2.66E-05,-0.000544835,-0.004704531,0.000145336,-0.022567839,-0.033949103,-0.008935517,-0.008193726,-0.012401865,-0.013585656,-0.01353671,0.11648977,0.02115113,-0.3067441,-0.041198538,0.27106724,0.036743932,-0.73382217,-0.18263991,0.01977629,-0.94122474,-1.41247165,-0.452306982,0.014004884,-2.199250599,-3.403276108,-0.000415737,0.002738531,0.000371793,-0.007399119,-0.000117965,0.000727986,8.95E-05,-0.00198211,-0.004704531,0.000145336,-0.022567839,-0.033949103,-0.00804989,-0.006452299,-0.014525528,-0.017863979,-0.75360534,0.198207007,0.947100329,-0.439330666,-8.446532661,-0.411047829,10.22782035,-6.682900707,-0.04762867,1.384678004,1.676802663,0.376163667,-7.618370029,16.85443439,23.96039604,4.771018461,-0.075599646,-0.003537142,0.091958285,-0.061034229,-0.03411793,-0.006009296,0.041197781,-0.032062324,-0.048212731,0.109962853,0.180614457,0.040214521,0.014364111,0.129116844,0.166403992,0.050073459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
